t,chi_tdvp,chi_bug,z_exact_1,z_tdvp_1,z_bug_1,err2_tdvp_1,err2_bug_1,z_exact_4,z_tdvp_4,z_bug_4,err2_tdvp_4,err2_bug_4,z_exact_8,z_tdvp_8,z_bug_8,err2_tdvp_8,err2_bug_8
0.26,2.0,2.0,0.9359401450200943,0.935940145019987,0.935941215474207,1.1502035732381539e-26,1.1458720073616728e-12,-0.940067223527951,-0.9400672235264502,-0.9400681475451725,2.2523990932406266e-24,8.538078256567622e-13,-0.9359401450200937,-0.9359401450199876,-0.9359412265747731,1.1265130941782354e-26,1.169760524471203e-12
0.27,2.0,2.0,0.931099449147294,0.9310994491471043,0.9311005974552783,3.600017277377828e-26,1.3186112267051156e-12,-0.9358684739137726,-0.9358684739112146,-0.935869453482503,6.54312789226516e-24,9.595548977022176e-13,-0.9310994491472935,-0.9310994491471054,-0.9311006090764659,3.5370994572106304e-26,1.345435684934682e-12
0.28,2.0,2.0,0.9261034947418508,0.9261034947415281,0.9261047229142377,1.0416229093507872e-25,1.5084074119493305e-12,-0.9315828332167051,-0.931582833212437,-0.9315838682408932,1.8217030975130164e-23,1.0712750700225687e-12,-0.9261034947418502,-0.9261034947415275,-0.9261047350648461,1.040906401781717e-25,1.5384011343487693e-12
0.29,2.0,2.0,0.9209552082966571,0.9209552082961335,0.9209565182465435,2.741372503885801e-25,1.7159687047251762e-12,-0.9272171048230415,-0.9272171048160699,-0.9272181950242373,4.860384074249811e-23,1.1885386472444713e-12,-0.9209552082966564,-0.9209552082961333,-0.9209565309354891,2.7367241410017864e-25,1.7493734817111185e-12
0.3,2.0,2.0,0.9156576015219065,0.9156576015210814,0.9156589950624971,6.806361038835613e-25,1.941955377927155e-12,-0.9227781480518565,-0.9227781480406764,-0.9227792929714795,1.249961543298857e-22,1.3108409431243766e-12,-0.9156576015219056,-0.9156576015210817,-0.9156590082988134,6.788054535453828e-25,1.9790212684683296e-12
0.31,2.0,2.0,0.9102137691801515,0.9102137691788721,0.9102152480224238,1.6369181299850346e-24,2.186974466361118e-12,-0.918272861658463,-0.9182728616408248,-0.9182740606607067,3.1110695344176167e-22,1.4376063804276073e-12,-0.9102137691801507,-0.9102137691788729,-0.910215261815238,1.6329433064026588e-24,2.2279595038626716e-12
0.32,2.0,2.0,0.9046268868636692,0.9046268868617279,0.9046284526141338,3.768785390579906e-24,2.45157451744536e-12,-0.9137081673895047,-0.9137081673621135,-0.9137094196648289,7.502778603909189e-22,1.568193487637816e-12,-0.9046268868636683,-0.9046268868617299,-0.9046284669726614,3.757586080219903e-24,2.496744430054494e-12
0.33,2.0,2.0,0.8989002087159249,0.8989002087130251,0.8989018628745126,8.408790847971726e-24,2.7362406331313228e-12,-0.909090993638301,-0.9090909935963751,-0.909092298207471,1.757781693740726e-21,1.7019007190879433e-12,-0.8989002087159232,-0.8989002087130255,-0.8989018778080365,8.397204946464358e-24,2.785868482676618e-12
0.34,2.0,2.0,0.8930370650989446,0.8930370650946706,0.893038809056988,1.8267294640538857e-23,3.0413896568251052e-12,-0.9044282592482805,-0.9044282591849675,-0.9044296149668842,4.008538690472563e-21,1.8379729324528547e-12,-0.8930370650989438,-0.8930370650946708,-0.8930388245748521,1.825780562992518e-23,3.0957554718980763e-12
0.35,2.0,2.0,0.8870408602085056,0.8870408602022896,0.8870426952468471,3.863900027484422e-23,3.367365714783242e-12,-0.8997268575114349,-0.8997268574170396,-0.8997282630748237,8.910466881100356e-21,1.9756084399066693e-12,-0.887040860208504,-0.8870408602022898,-0.8870427113584411,3.8616919663676634e-23,3.426756089682487e-12
0.36,2.0,2.0,0.8809150696390133,0.8809150696300734,0.8809169969262314,7.992288271843933e-23,3.714436020819623e-12,-0.8949936404075911,-0.8949936402685252,-0.8949950943561513,1.9339316179591363e-20,2.113966415751179e-12,-0.8809150696390116,-0.8809150696300735,-0.880917013640969,7.988914009301297e-23,3.77914361041461e-12
0.37,2.0,2.0,0.8746632379000668,0.8746632378873451,0.8746652584908159,1.6184197077151062e-22,4.082786975155546e-12,-0.890235403129087,-0.8902354029265162,-0.8902369038537491,4.1034948858056485e-20,2.2521745114223144e-12,-0.8746632379000653,-0.8746632378873452,-0.8746652758181318,1.6179960173021854e-22,4.153110045856694e-12
0.38,2.0,2.0,0.8682889758866681,0.8682889758687428,0.8682910907201322,3.2131737991706147e-22,4.472520580997969e-12,-0.8854588689340281,-0.8854588686420926,-0.8854604146818814,8.522638684950832e-20,2.3893364258918913e-12,-0.8682889758866671,-0.8682889758687417,-0.8682911086694596,3.213213601517366e-22,4.5487624399223385e-12
0.39,3.0,3.0,0.8617959583051074,0.8617959582861605,0.861798168098701,3.5898290110900397e-22,4.883187726607386e-12,-0.8806706743697825,-0.8806706739474981,-0.8806722635738327,1.7832413952180608e-19,2.5255695129628983e-12,-0.8617959583051062,-0.8617959582861626,-0.8617981867819049,3.5886090718430015e-22,4.966108842117458e-12
