t,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
2.6,-4.884981308350689e-15,1.992850329202156e-14,3.05487139473648e-08,-6.039613253960852e-14,4.218847493575595e-15,-1.887379141862766e-15
2.7,4.973799150320701e-14,2.653433028854124e-14,6.351852427366467e-08,-2.353672812205332e-14,8.43769498715119e-15,-3.83026943495679e-15
2.8,1.008082506359642e-13,1.598721155460225e-14,6.319383805131196e-08,2.853273173286652e-14,1.126876369994534e-14,3.996802888650564e-15
2.9,1.064148769103213e-13,-7.938094626069869e-15,3.46984622145996e-08,6.855627177060342e-14,1.076916333886402e-14,1.731947918415244e-14
3,5.434541705540141e-14,-3.363975764614224e-14,-3.478669574619175e-09,8.459899447643693e-14,4.496403249731884e-15,2.925437669887287e-14
3.1,-2.80331313717852e-14,-4.557465516086268e-14,-3.110209978451905e-08,6.505906924303417e-14,-4.440892098500626e-15,3.286260152890463e-14
3.2,-8.920642002863133e-14,-3.647082635893639e-14,-3.701022649460484e-08,2.903233209394784e-14,-1.17128529097954e-14,2.925437669887287e-14
3.3,-9.614531393253856e-14,-8.049116928532385e-15,-2.43198072791273e-08,-6.716849298982197e-15,-1.4210854715202e-14,2.681188604469753e-14
3.4,-4.929390229335695e-14,2.181588243388433e-14,-7.54372564415462e-09,-2.936539900133539e-14,-9.658940314238862e-15,3.425038030968608e-14
3.5,1.554312234475219e-14,3.341771304121721e-14,-1.895369750037901e-09,-2.414735078559715e-14,-2.55351295663786e-15,5.023759186428833e-14
3.6,5.273559366969494e-14,1.915134717478395e-14,-1.166183849488078e-08,-4.773959005888173e-15,1.343369859796439e-14,6.389333506717776e-14
3.7,4.424238753131249e-14,-8.992806499463768e-15,-2.899112305776441e-08,2.153832667772804e-14,3.064215547965432e-14,6.122879980807738e-14
3.8,4.385380947269368e-15,-2.664535259100376e-14,-4.10476574952412e-08,4.485301019485632e-14,3.796962744218035e-14,3.563815909046752e-14
3.9,-2.980948821118545e-14,-1.709743457922741e-14,-3.702410489303531e-08,5.717648576819556e-14,3.907985046680551e-14,-7.494005416219807e-15
