qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
22,23,8.4917761109710821e-01,8.7448650070936518e-01,2.5308889612256968e-02,177663,21.5381
23,24,8.4917761109710821e-01,8.7448650070936407e-01,2.5308889612255858e-02,177663,20.2344
24,25,-9.6989757774250196e-01,-9.9575946148658190e-01,2.5861883744079939e-02,16179,0.2095
25,26,-9.6989757774250196e-01,-9.9575946148658334e-01,2.5861883744081382e-02,16179,0.1389
26,27,-8.5317212389111885e-01,-8.7509018232377456e-01,2.1918058432655707e-02,177663,19.5882
27,28,-8.5317212389111885e-01,-8.7509018232377433e-01,2.1918058432655485e-02,16179,3.1460
28,29,-9.5731435642106411e-01,-9.8594012514895213e-01,2.8625768727888024e-02,16179,2.9755
29,30,-9.5731435642106411e-01,-9.8594012514895135e-01,2.8625768727887246e-02,16179,2.5068
30,31,-9.5275685140596444e-01,-9.9077446822942850e-01,3.8017616823464051e-02,16179,7.1909
31,32,-9.5275685140596444e-01,-9.9077446826635818e-01,3.8017616860393733e-02,16179,7.3254
32,33,-9.5275685140578459e-01,-9.9056996747542425e-01,3.7813116069639663e-02,16179,0.2112
33,34,-9.5275685140578459e-01,-9.9056996747542470e-01,3.7813116069640107e-02,16179,0.1792
34,35,-9.6424172010172648e-01,-9.8953228868992993e-01,2.5290568588203444e-02,16179,2.1279
35,36,-9.6424172010172648e-01,-9.8953228868992904e-01,2.5290568588202555e-02,16179,2.0613
36,37,-9.9329005822666960e-01,-9.9997192633808640e-01,6.6818681114167999e-03,16179,5.8393
37,38,-9.9329005822666960e-01,-9.9997192633808551e-01,6.6818681114159117e-03,16179,4.8012
38,39,-9.9310883168364639e-01,-9.9948110538189572e-01,6.3722736982493311e-03,16179,4.9571
39,40,-9.9310883168364639e-01,-9.9948110538189472e-01,6.3722736982483319e-03,16179,5.0118
40,41,-9.9310883168364483e-01,-9.9965697665002673e-01,6.5481449663818969e-03,16179,6.4944
41,42,-9.9310883168364483e-01,-9.9965697656244501e-01,6.5481448788001773e-03,16179,5.8258
42,43,-9.9400436566806294e-01,-9.9999612210825994e-01,5.9917564401970047e-03,34303,14.6470
43,44,-9.9400436566806294e-01,-9.9999612210828670e-01,5.9917564402237611e-03,34303,15.0755
44,45,-9.9400436566806161e-01,-9.9999612768125590e-01,5.9917620131942906e-03,34303,15.1842
45,46,-9.9400436566806161e-01,-9.9999612953544037e-01,5.9917638673787632e-03,7631,5.2325
46,47,-9.9624848802349153e-01,-9.9997423403672570e-01,3.7257460132341658e-03,7631,4.4237
47,48,-9.9624848802349153e-01,-9.9997423232536664e-01,3.7257443018751113e-03,7631,4.2892
48,49,-9.9895812346003943e-01,-1.0000000000000000e+00,1.0418765399605734e-03,3,0.0179
49,50,-9.9895812346003943e-01,-1.0000000000000000e+00,1.0418765399605734e-03,3,0.0096
50,51,-9.9869956623571332e-01,-9.9999602599390935e-01,1.2964597581960335e-03,7631,4.2000
51,52,-9.9869956623571332e-01,-9.9999602585131664e-01,1.2964596156033181e-03,7631,4.2490
52,53,-9.9998947118903991e-01,-1.0000000000000000e+00,1.0528810960086510e-05,3,0.0091
53,54,-9.9998947118903991e-01,-1.0000000000000000e+00,1.0528810960086510e-05,3,0.0094
54,55,-9.9999056542689890e-01,-1.0000000000000000e+00,9.4345731010969658e-06,3,0.0123
55,56,-9.9999056542689890e-01,-1.0000000000000000e+00,9.4345731010969658e-06,3,0.0080
56,57,-9.9998845345358556e-01,-1.0000000000000000e+00,1.1546546414442638e-05,3,0.0151
57,58,-9.9998845345358556e-01,-1.0000000000000000e+00,1.1546546414442638e-05,3,0.1358
58,59,-9.9998845345358489e-01,-1.0000000000000000e+00,1.1546546415108772e-05,3,0.0096
59,60,-9.9998845345358489e-01,-1.0000000000000000e+00,1.1546546415108772e-05,3,0.0146
60,61,-9.9998922948372482e-01,-1.0000000000000000e+00,1.0770516275182551e-05,3,0.0516
61,62,-9.9998922948372482e-01,-1.0000000000000000e+00,1.0770516275182551e-05,3,0.0070
62,63,-9.9998922948372482e-01,-1.0000000000000000e+00,1.0770516275182551e-05,3,0.0534
63,64,-9.9998922948372482e-01,-1.0000000000000000e+00,1.0770516275182551e-05,3,0.0182
64,65,-9.9999750417816424e-01,-1.0000000000000000e+00,2.4958218357573614e-06,3,0.0160
65,66,-9.9999750417816424e-01,-1.0000000000000000e+00,2.4958218357573614e-06,3,0.0337
66,67,-9.9999712080226477e-01,-1.0000000000000000e+00,2.8791977352282672e-06,3,0.0087
67,68,-9.9999712080226477e-01,-1.0000000000000000e+00,2.8791977352282672e-06,3,0.0095
68,69,-9.9999999802661177e-01,-1.0000000000000000e+00,1.9733882306027795e-09,3,0.0087
69,70,-9.9999999802661177e-01,-1.0000000000000000e+00,1.9733882306027795e-09,3,0.0084
70,71,-9.9999999800997330e-01,-1.0000000000000000e+00,1.9900266989836268e-09,3,0.0087
71,72,-9.9999999800997330e-01,-1.0000000000000000e+00,1.9900266989836268e-09,3,0.0569
