qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
27,28,-8.5367567591090199e-01,-8.7307591975573573e-01,1.9400243844833742e-02,64719,2653.8428
28,29,-9.5698440570277576e-01,-9.8538239514671766e-01,2.8397989443941896e-02,64719,36.6418
29,30,-9.5698440570277576e-01,-9.8538239514671855e-01,2.8397989443942784e-02,64719,30.1314
30,31,-9.5269545814782852e-01,-9.8233064843733087e-01,2.9635190289502344e-02,64719,2.2638
31,32,-9.5269545814782852e-01,-9.8405259947366353e-01,3.1357141325835003e-02,64719,2.3052
32,33,-9.5269545814783052e-01,-9.9180796787059133e-01,3.9112509722760813e-02,64719,2.2947
33,34,-9.5269545814783052e-01,-9.9272213094557271e-01,4.0026672797742191e-02,64719,2.2479
34,35,-9.6417098948825697e-01,-9.8919810291755439e-01,2.5027113429297421e-02,64719,26.7101
35,36,-9.6417098948825697e-01,-9.8919810291755261e-01,2.5027113429295644e-02,64719,26.7073
36,37,-9.9327318612842064e-01,-9.9989447640510543e-01,6.6212902766847881e-03,710655,3417.8531
37,38,-9.9327318612842064e-01,-9.9989453099611103e-01,6.6213448676903930e-03,710655,795.8461
38,39,-9.9309758569570528e-01,-9.9867134854199258e-01,5.5737628462873001e-03,64719,50.3921
39,40,-9.9309758569570528e-01,-9.9867702334004704e-01,5.5794376443417670e-03,64719,49.2211
40,41,-9.9309758569570528e-01,-9.9999402228197987e-01,6.8964365862745902e-03,64719,72.2491
41,42,-9.9309758569570528e-01,-9.9999402228294021e-01,6.8964365872349331e-03,64719,73.2650
42,43,-9.9399193610153891e-01,-9.9999418923738403e-01,6.0022531358451259e-03,64719,74.5561
43,44,-9.9399193610153891e-01,-9.9999418923495265e-01,6.0022531334137375e-03,64719,72.7307
44,45,-9.9399193610153913e-01,-9.9869623573472543e-01,4.7042996331863041e-03,64719,50.8532
45,46,-9.9399193610153913e-01,-9.9869840450721636e-01,4.7064684056772332e-03,64719,2685.5764
46,47,-9.9623773949569261e-01,-9.9988897260327581e-01,3.6512331075831961e-03,64719,79.6896
47,48,-9.9623773949569261e-01,-9.9988897260292653e-01,3.6512331072339199e-03,64719,73.6659
48,49,-9.9895609712559563e-01,-1.0000000000000000e+00,1.0439028744043677e-03,3,0.0261
49,50,-9.9895609712559563e-01,-1.0000000000000000e+00,1.0439028744043677e-03,3,0.0231
50,51,-9.9869138793545542e-01,-1.0000000000000000e+00,1.3086120645445787e-03,3,0.0226
51,52,-9.9869138793545542e-01,-1.0000000000000000e+00,1.3086120645445787e-03,3,0.0801
52,53,-9.9998941649775752e-01,-1.0000000000000000e+00,1.0583502242478282e-05,3,0.0213
53,54,-9.9998941649775752e-01,-1.0000000000000000e+00,1.0583502242478282e-05,3,0.0201
54,55,-9.9999056613346193e-01,-1.0000000000000000e+00,9.4338665380666598e-06,3,0.1273
55,56,-9.9999056613346193e-01,-1.0000000000000000e+00,9.4338665380666598e-06,3,0.3135
56,57,-9.9998843206347632e-01,-1.0000000000000000e+00,1.1567936523682043e-05,3,0.2322
57,58,-9.9998843206347632e-01,-1.0000000000000000e+00,1.1567936523682043e-05,3,0.2024
58,59,-9.9998843206347632e-01,-1.0000000000000000e+00,1.1567936523682043e-05,3,0.1546
59,60,-9.9998843206347632e-01,-1.0000000000000000e+00,1.1567936523682043e-05,3,0.1499
60,61,-9.9998921470562607e-01,-1.0000000000000000e+00,1.0785294373927279e-05,3,0.2612
61,62,-9.9998921470562607e-01,-1.0000000000000000e+00,1.0785294373927279e-05,3,0.1895
62,63,-9.9998921470562541e-01,-1.0000000000000000e+00,1.0785294374593413e-05,3,0.1743
63,64,-9.9998921470562541e-01,-1.0000000000000000e+00,1.0785294374593413e-05,3,0.0996
64,65,-9.9999750325581538e-01,-1.0000000000000000e+00,2.4967441846213134e-06,3,0.1901
65,66,-9.9999750325581538e-01,-1.0000000000000000e+00,2.4967441846213134e-06,3,0.1364
66,67,-9.9999711522180268e-01,-1.0000000000000000e+00,2.8847781973206921e-06,3,0.1340
67,68,-9.9999711522180268e-01,-1.0000000000000000e+00,2.8847781973206921e-06,3,0.1353
68,69,-9.9999999802378448e-01,-1.0000000000000000e+00,1.9762155245572899e-09,3,0.1529
69,70,-9.9999999802378448e-01,-1.0000000000000000e+00,1.9762155245572899e-09,3,0.1648
70,71,-9.9999999800364858e-01,-1.0000000000000000e+00,1.9963514175103114e-09,3,0.2310
71,72,-9.9999999800364858e-01,-1.0000000000000000e+00,1.9963514175103114e-09,3,0.2309
