qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
39,40,-9.9309775512229226e-01,-1.0000000000000000e+00,6.9022448777077416e-03,3,0.0002
40,41,-9.9309775512229248e-01,-9.9999346912345888e-01,6.8957140011663975e-03,24,0.0002
41,42,-9.9309775512229248e-01,-1.0000000000000000e+00,6.9022448777075196e-03,3,0.0002
42,43,-9.9399207312237914e-01,-1.0000000000000000e+00,6.0079268776208616e-03,3,0.0001
43,44,-9.9399207312237914e-01,-1.0000000000000000e+00,6.0079268776208616e-03,3,0.0002
44,45,-9.9399207312237892e-01,-9.9975215221516789e-01,5.7600790927889722e-03,27,0.0003
45,46,-9.9399207312237892e-01,-9.9975215221516789e-01,5.7600790927889722e-03,27,0.0003
46,47,-9.9623780459444122e-01,-1.0000000000000000e+00,3.7621954055587770e-03,3,0.0002
47,48,-9.9623780459444122e-01,-1.0000000000000000e+00,3.7621954055587770e-03,3,0.0002
48,49,-9.9895612000923062e-01,-1.0000000000000000e+00,1.0438799907693808e-03,3,0.0002
49,50,-9.9895612000923062e-01,-1.0000000000000000e+00,1.0438799907693808e-03,3,0.0002
50,51,-9.9869140971567394e-01,-1.0000000000000000e+00,1.3085902843260611e-03,3,0.0001
51,52,-9.9869140971567394e-01,-1.0000000000000000e+00,1.3085902843260611e-03,3,0.0001
52,53,-9.9998944167940429e-01,-9.9999997800867668e-01,1.0536329272392564e-05,58,0.0005
53,54,-9.9998944167940429e-01,-9.9999997800867679e-01,1.0536329272503586e-05,58,0.0005
54,55,-9.9999054126067299e-01,-1.0000000000000000e+00,9.4587393270062492e-06,3,0.0002
55,56,-9.9999054126067299e-01,-1.0000000000000000e+00,9.4587393270062492e-06,3,0.0001
56,57,-9.9998843461069720e-01,-1.0000000000000000e+00,1.1565389302803375e-05,3,0.0002
57,58,-9.9998843461069720e-01,-1.0000000000000000e+00,1.1565389302803375e-05,3,0.0002
58,59,-9.9998843461069742e-01,-1.0000000000000000e+00,1.1565389302581330e-05,3,0.0002
59,60,-9.9998843461069742e-01,-1.0000000000000000e+00,1.1565389302581330e-05,3,0.0002
60,61,-9.9998921253033879e-01,-1.0000000000000000e+00,1.0787469661210913e-05,3,0.0002
61,62,-9.9998921253033879e-01,-1.0000000000000000e+00,1.0787469661210913e-05,3,0.0003
62,63,-9.9998921253033879e-01,-1.0000000000000000e+00,1.0787469661210913e-05,3,0.0002
63,64,-9.9998921253033879e-01,-1.0000000000000000e+00,1.0787469661210913e-05,3,0.0002
64,65,-9.9999750321013370e-01,-1.0000000000000000e+00,2.4967898663019739e-06,3,0.0001
65,66,-9.9999750321013370e-01,-1.0000000000000000e+00,2.4967898663019739e-06,3,0.0002
66,67,-9.9999711536502722e-01,-1.0000000000000000e+00,2.8846349727773557e-06,3,0.0002
67,68,-9.9999711536502722e-01,-1.0000000000000000e+00,2.8846349727773557e-06,3,0.0002
68,69,-9.9999999802276707e-01,-1.0000000000000000e+00,1.9772329329370564e-09,3,0.0002
69,70,-9.9999999802276707e-01,-1.0000000000000000e+00,1.9772329329370564e-09,3,0.0002
70,71,-9.9999999800480210e-01,-1.0000000000000000e+00,1.9951978957877259e-09,3,0.0002
71,72,-9.9999999800480210e-01,-1.0000000000000000e+00,1.9951978957877259e-09,3,0.0002
