qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
42,43,-9.9399278190592844e-01,-9.9999560567391266e-01,6.0028237679842222e-03,127,0.0026
43,44,-9.9399278190592844e-01,-1.0000000000000000e+00,6.0072180940715647e-03,55,0.0014
44,45,-9.9399278190592866e-01,-9.9952715949443860e-01,5.5343775885099422e-03,235,0.0044
45,46,-9.9399278190592866e-01,-9.9952715949443860e-01,5.5343775885099422e-03,235,0.0043
46,47,-9.9623821856711681e-01,-9.9999999999998712e-01,3.7617814328703147e-03,102,0.0023
47,48,-9.9623821856711681e-01,-1.0000000000000002e+00,3.7617814328834154e-03,110,0.0023
48,49,-9.9895624311927866e-01,-1.0000000000000000e+00,1.0437568807213360e-03,3,0.0005
49,50,-9.9895624311927866e-01,-1.0000000000000000e+00,1.0437568807213360e-03,3,0.0005
50,51,-9.9869165013802141e-01,-1.0000000000000000e+00,1.3083498619785860e-03,3,0.0005
51,52,-9.9869165013802141e-01,-1.0000000000000000e+00,1.3083498619785860e-03,3,0.0005
52,53,-9.9998941363125504e-01,-1.0000000000000000e+00,1.0586368744958108e-05,3,0.0005
53,54,-9.9998941363125504e-01,-1.0000000000000000e+00,1.0586368744958108e-05,3,0.0852
54,55,-9.9999057139287362e-01,-1.0000000000000000e+00,9.4286071263827154e-06,3,0.0009
55,56,-9.9999057139287362e-01,-1.0000000000000000e+00,9.4286071263827154e-06,3,0.0017
56,57,-9.9998843318308972e-01,-1.0000000000000000e+00,1.1566816910280053e-05,3,0.0008
57,58,-9.9998843318308972e-01,-1.0000000000000000e+00,1.1566816910280053e-05,3,0.0006
58,59,-9.9998843318308994e-01,-1.0000000000000000e+00,1.1566816910058009e-05,3,0.0005
59,60,-9.9998843318308994e-01,-1.0000000000000000e+00,1.1566816910058009e-05,3,0.0004
60,61,-9.9998921646154004e-01,-1.0000000000000000e+00,1.0783538459957498e-05,3,0.0005
61,62,-9.9998921646154004e-01,-1.0000000000000000e+00,1.0783538459957498e-05,3,0.0005
62,63,-9.9998921646154004e-01,-1.0000000000000000e+00,1.0783538459957498e-05,3,0.0004
63,64,-9.9998921646154004e-01,-1.0000000000000000e+00,1.0783538459957498e-05,3,0.0005
64,65,-9.9999750357912531e-01,-1.0000000000000000e+00,2.4964208746869332e-06,3,0.0005
65,66,-9.9999750357912531e-01,-1.0000000000000000e+00,2.4964208746869332e-06,3,0.0004
66,67,-9.9999711568194916e-01,-1.0000000000000000e+00,2.8843180508442146e-06,3,0.0005
67,68,-9.9999711568194916e-01,-1.0000000000000000e+00,2.8843180508442146e-06,3,0.0004
68,69,-9.9999999802422557e-01,-1.0000000000000000e+00,1.9757744329496063e-09,3,0.0004
69,70,-9.9999999802422557e-01,-1.0000000000000000e+00,1.9757744329496063e-09,3,0.0004
70,71,-9.9999999800369777e-01,-1.0000000000000000e+00,1.9963022346303205e-09,3,0.0004
71,72,-9.9999999800369777e-01,-1.0000000000000000e+00,1.9963022346303205e-09,3,0.0005
