qubit_qiskit,qubit_pp,err_pp_tebd,err_ref_native_tebd,err_ref_qiskit_tebd,z_pp,z_ref_native,z_ref_qiskit,z_tebd
51,52,1.1546319456101628e-14,1.9822917742408419e+00,1.3083498619901324e-03,-1.0000000000000000e+00,9.8229177424083036e-01,-9.9869165013802141e-01,-1.0000000000000115e+00
52,53,1.1546319456101628e-14,1.9822917742408437e+00,1.0586368756504427e-05,-1.0000000000000000e+00,9.8229177424083214e-01,-9.9998941363125504e-01,-1.0000000000000115e+00
53,54,1.1546319456101628e-14,1.9822917742408437e+00,1.0586368756504427e-05,-1.0000000000000000e+00,9.8229177424083214e-01,-9.9998941363125504e-01,-1.0000000000000115e+00
54,55,1.1546319456101628e-14,1.9483650794734262e+00,9.4286071379290348e-06,-1.0000000000000000e+00,9.4836507947341464e-01,-9.9999057139287362e-01,-1.0000000000000115e+00
55,56,1.1546319456101628e-14,1.9483650794734262e+00,9.4286071379290348e-06,-1.0000000000000000e+00,9.4836507947341464e-01,-9.9999057139287362e-01,-1.0000000000000115e+00
56,57,1.1546319456101628e-14,1.9747963195661311e+00,1.1566816921826373e-05,-1.0000000000000000e+00,9.7479631956611956e-01,-9.9998843318308972e-01,-1.0000000000000115e+00
57,58,1.1546319456101628e-14,1.9747963195661311e+00,1.1566816921826373e-05,-1.0000000000000000e+00,9.7479631956611956e-01,-9.9998843318308972e-01,-1.0000000000000115e+00
58,59,1.1546319456101628e-14,1.9747963195661213e+00,1.1566816921604328e-05,-1.0000000000000000e+00,9.7479631956610979e-01,-9.9998843318308994e-01,-1.0000000000000115e+00
59,60,1.1546319456101628e-14,1.9747963195661213e+00,1.1566816921604328e-05,-1.0000000000000000e+00,9.7479631956610979e-01,-9.9998843318308994e-01,-1.0000000000000115e+00
60,61,1.1546319456101628e-14,1.9918271634661868e+00,1.0783538471503817e-05,-1.0000000000000000e+00,9.9182716346617528e-01,-9.9998921646154004e-01,-1.0000000000000115e+00
61,62,1.1546319456101628e-14,1.9918271634661868e+00,1.0783538471503817e-05,-1.0000000000000000e+00,9.9182716346617528e-01,-9.9998921646154004e-01,-1.0000000000000115e+00
62,63,1.1546319456101628e-14,1.9865007037578890e+00,1.0783538471503817e-05,-1.0000000000000000e+00,9.8650070375787746e-01,-9.9998921646154004e-01,-1.0000000000000115e+00
63,64,1.1546319456101628e-14,1.9865007037578890e+00,1.0783538471503817e-05,-1.0000000000000000e+00,9.8650070375787746e-01,-9.9998921646154004e-01,-1.0000000000000115e+00
64,65,1.1546319456101628e-14,1.9916322903928838e+00,2.4964208862332526e-06,-1.0000000000000000e+00,9.9163229039287226e-01,-9.9999750357912531e-01,-1.0000000000000115e+00
65,66,1.1546319456101628e-14,1.9916322903928838e+00,2.4964208862332526e-06,-1.0000000000000000e+00,9.9163229039287226e-01,-9.9999750357912531e-01,-1.0000000000000115e+00
66,67,1.1546319456101628e-14,1.9706273358062378e+00,2.8843180623905340e-06,-1.0000000000000000e+00,9.7062733580622629e-01,-9.9999711568194916e-01,-1.0000000000000115e+00
67,68,1.1546319456101628e-14,1.9706273358062378e+00,2.8843180623905340e-06,-1.0000000000000000e+00,9.7062733580622629e-01,-9.9999711568194916e-01,-1.0000000000000115e+00
68,69,1.1546319456101628e-14,1.9706273358062218e+00,1.9757859792690624e-09,-1.0000000000000000e+00,9.7062733580621030e-01,-9.9999999802422557e-01,-1.0000000000000115e+00
69,70,1.1546319456101628e-14,1.9706273358062218e+00,1.9757859792690624e-09,-1.0000000000000000e+00,9.7062733580621030e-01,-9.9999999802422557e-01,-1.0000000000000115e+00
70,71,1.1546319456101628e-14,1.9879477641363776e+00,1.9963137809497766e-09,-1.0000000000000000e+00,9.8794776413636609e-01,-9.9999999800369777e-01,-1.0000000000000115e+00
71,72,1.1546319456101628e-14,1.9879477641363776e+00,1.9963137809497766e-09,-1.0000000000000000e+00,9.8794776413636609e-01,-9.9999999800369777e-01,-1.0000000000000115e+00
