qubit_qiskit,qubit_pp,err_pp_tebd,err_ref_native_tebd,err_ref_qiskit_tebd,z_pp,z_ref_native,z_ref_qiskit,z_tebd
60,61,4.4408920985006262e-16,1.9918262827537703e+00,1.0787469661655003e-05,-1.0000000000000000e+00,9.9182628275376994e-01,-9.9998921253033879e-01,-1.0000000000000004e+00
61,62,4.4408920985006262e-16,1.9918262827537703e+00,1.0787469661655003e-05,-1.0000000000000000e+00,9.9182628275376994e-01,-9.9998921253033879e-01,-1.0000000000000004e+00
62,63,4.4408920985006262e-16,1.9864990876708131e+00,1.0787469661655003e-05,-1.0000000000000000e+00,9.8649908767081251e-01,-9.9998921253033879e-01,-1.0000000000000004e+00
63,64,4.4408920985006262e-16,1.9864990876708131e+00,1.0787469661655003e-05,-1.0000000000000000e+00,9.8649908767081251e-01,-9.9998921253033879e-01,-1.0000000000000004e+00
64,65,4.4408920985006262e-16,1.9916316627736039e+00,2.4967898667460631e-06,-1.0000000000000000e+00,9.9163166277360359e-01,-9.9999750321013370e-01,-1.0000000000000004e+00
65,66,4.4408920985006262e-16,1.9916316627736039e+00,2.4967898667460631e-06,-1.0000000000000000e+00,9.9163166277360359e-01,-9.9999750321013370e-01,-1.0000000000000004e+00
66,67,4.4408920985006262e-16,1.9706286026339543e+00,2.8846349732214449e-06,-1.0000000000000000e+00,9.7062860263395379e-01,-9.9999711536502722e-01,-1.0000000000000004e+00
67,68,4.4408920985006262e-16,1.9706286026339543e+00,2.8846349732214449e-06,-1.0000000000000000e+00,9.7062860263395379e-01,-9.9999711536502722e-01,-1.0000000000000004e+00
68,69,4.4408920985006262e-16,1.9706286026339614e+00,1.9772333770262662e-09,-1.0000000000000000e+00,9.7062860263396089e-01,-9.9999999802276707e-01,-1.0000000000000004e+00
69,70,4.4408920985006262e-16,1.9706286026339614e+00,1.9772333770262662e-09,-1.0000000000000000e+00,9.7062860263396089e-01,-9.9999999802276707e-01,-1.0000000000000004e+00
70,71,4.4408920985006262e-16,1.9879484750010512e+00,1.9951983398769357e-09,-1.0000000000000000e+00,9.8794847500105087e-01,-9.9999999800480210e-01,-1.0000000000000004e+00
71,72,4.4408920985006262e-16,1.9879484750010512e+00,1.9951983398769357e-09,-1.0000000000000000e+00,9.8794847500105087e-01,-9.9999999800480210e-01,-1.0000000000000004e+00
