t,z_ref_qutip,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
3.45,-3.341511095600325e-16,-4.783139810016213e-05,5.76075670176146e-05,7.008296114480173e-05,0.0001974699385462464,6.550315845288424e-15,5.495603971894525e-15
3.5,2.168187504536512e-15,-5.325864275862457e-05,4.670222715597028e-05,0.0001773927085085836,-0.0002614181720177466,6.106226635438361e-15,2.942091015256665e-15
3.55,-1.067939139898222e-15,-5.747153567786656e-05,3.462777874169154e-05,0.0002960917216768277,-0.0008270096200005961,5.10702591327572e-15,1.110223024625157e-15
3.6,-2.541369892306022e-16,-6.037717919010754e-05,2.216395376081204e-05,0.000417386908549644,-0.001456485313081513,4.329869796038111e-15,-7.216449660063518e-16
3.65,-1.564503734896583e-15,-6.194478579402141e-05,1.004943000365577e-05,0.0005304591557140359,-0.002109657774913398,3.108624468950438e-15,-2.386979502944087e-15
3.7,3.621668936970579e-15,-6.220140086210524e-05,-1.073547632401972e-06,0.0006245630505128386,-0.002760756845488876,1.720845688168993e-15,-1.387778780781446e-15
3.75,4.476237089323654e-15,-6.122361828431178e-05,-1.069932090602688e-05,0.0006906095139855295,-0.003377928949335696,5.551115123125783e-16,9.992007221626409e-16
3.8,-9.495008945759054e-15,-5.912769553506614e-05,-1.848208847565758e-05,0.0007219858051059069,-0.003915947451913981,9.436895709313831e-16,4.274358644806853e-15
3.85,2.815239361075861e-15,-5.606271670072216e-05,-2.424218218111118e-05,0.0007152732293799202,-0.004319947052646933,1.554312234475219e-15,1.02695629777827e-14
3.9,9.181240837041749e-15,-5.2207780292024e-05,-2.795681560074925e-05,0.0006701078112789638,-0.004534300887989562,2.386979502944087e-15,1.94844140821715e-14
3.95,3.506743506687116e-15,-4.776868235878418e-05,-2.973863459260206e-05,0.0005880948398419017,-0.004513157571250148,3.108624468950438e-15,2.592370762499741e-14
4,2.118682833340824e-14,-4.297207799897063e-05,-2.980615002257103e-05,0.0004727652006739635,-0.004229507424986456,3.885780586188048e-15,2.575717417130363e-14
4.05,3.210322632729579e-15,-3.80598208894467e-05,-2.845007779556097e-05,0.0003293405636176083,-0.003681091938427528,5.551115123125783e-15,2.603472992745992e-14
4.1,-1.803093264973743e-14,-3.328467817065306e-05,-2.599923726348541e-05,0.0001622418289173311,-0.002892769329964018,6.938893903907228e-15,2.309263891220326e-14
4.15,2.432537678231927e-14,-2.890478877293212e-05,-2.27887261619597e-05,-2.1590779182179e-05,-0.001915352535007964,9.103828801926284e-15,2.042810365310288e-14
4.2,-1.070497857025288e-14,-2.517287801889756e-05,-1.913234429418154e-05,-0.0002091926749868134,-0.0008193166399202978,1.06581410364015e-14,1.870725796493389e-14
4.25,1.933370998019601e-14,-2.231749539932659e-05,-1.530134289723373e-05,-0.00038441860557481,0.0003187390592385153,1.204591981718295e-14,1.787459069646502e-14
4.3,3.362110936877549e-15,-2.051659381607784e-05,-1.151155920264824e-05,-0.0005312501985484941,0.00142565588487259,1.287858708565182e-14,1.953992523340276e-14
4.35,-3.516653114543633e-14,-1.987008001386181e-05,-7.919544705248249e-06,-0.0006350601498480435,0.002434281962855001,1.27675647831893e-14,2.509104035652854e-14
4.4,-1.133533371333595e-14,-2.03805981593419e-05,-4.625619019260618e-06,-0.0006827408202288998,0.00329059013068983,1.121325254871408e-14,2.953193245502916e-14
4.45,5.177282214052781e-15,-2.194400922589379e-05,-1.681548996712579e-06,-0.0006633034238064384,0.003960397583458342,9.381384558082573e-15,3.68594044175552e-14
4.5,6.467894796136076e-14,-2.43484928041382e-05,8.971223838249998e-07,-0.000570974137374225,0.004431097209710688,6.827871601444713e-15,4.318767565791859e-14
4.55,-4.461079942952306e-14,-2.728711380095561e-05,3.115201988201921e-06,-0.000411618285238835,0.004709293938554515,4.940492459581947e-15,5.029310301551959e-14
4.6,-4.739915057672128e-14,-3.038753769513125e-05,4.982010204268583e-06,-0.0002061471821473981,0.004816849174939963,2.386979502944087e-15,6.056266599330229e-14
4.65,-6.847365556506002e-14,-3.325442609525275e-05,6.498418774369963e-06,1.715665113322107e-05,0.004788402132842595,2.220446049250313e-16,6.722400414105323e-14
4.7,1.268711698199088e-14,-3.551414281188769e-05,7.648324839570897e-06,0.0002318124377046482,0.004671773423355285,-2.664535259100376e-15,7.41073868937292e-14
4.75,4.941901922406178e-14,-3.685346917414734e-05,8.39723639156631e-06,0.0004145666908540457,0.004527266046434497,-3.885780586188048e-15,7.982503547054876e-14
4.8,-1.769561060183111e-13,-3.705850771923425e-05,8.69881859549837e-06,0.0005455783525429303,0.004417423070362081,-5.384581669432009e-15,8.593126210598712e-14
4.85,5.195063129681543e-15,-3.604966287995559e-05,8.507673969537777e-06,0.0006115258369520649,0.004386349541747991,-6.883382752675971e-15,9.026113190202523e-14
4.9,-1.089519099939373e-13,-3.389687345684012e-05,7.797346598392707e-06,0.0006090349092051639,0.004445316102145491,-6.161737786669619e-15,9.214851104388799e-14
4.95,1.375006879189566e-13,-3.081401655125049e-05,6.580252572108147e-06,0.0005453294559642496,0.00458010760238281,-5.662137425588298e-15,9.037215420448774e-14
5,6.837239108214987e-14,-2.713537695608892e-05,4.92379928540565e-06,0.0004362470548447961,0.004772804912903605,-4.718447854656915e-15,8.570921750106208e-14
5.05,3.461705748442068e-14,-2.327453165940074e-05,2.957612475595894e-06,0.0003030386540692209,0.005017160237771268,-4.274358644806853e-15,7.788214517745473e-14
5.1,1.560713364101574e-13,-1.966884151749504e-05,8.691818402239981e-07,0.0001683572005957701,0.005313726246434891,-3.996802888650564e-15,7.216449660063518e-14
5.15,6.12721678949768e-14,-1.671991806584394e-05,-1.112848243334241e-06,5.174670753083088e-05,0.005651745636436389,-3.885780586188048e-15,6.639133687258436e-14
5.2,-7.533318586994131e-14,-1.473877753982444e-05,-2.746338639225687e-06,-3.398172174667868e-05,0.005996495886636311,-4.218847493575595e-15,5.972999872483342e-14
5.25,5.882468991080803e-14,-1.389799229856159e-05,-3.81033742813397e-06,-8.414135527951005e-05,0.006291847261367112,-5.329070518200751e-15,5.3179682879545e-14
5.3,-1.092687138687376e-13,-1.419915369471614e-05,-4.142136466156465e-06,-0.0001006052295451365,0.006472958227700054,-6.328271240363392e-15,4.812816811750054e-14
