name,family,real_ref,imag_ref,real_pp,imag_pp,abs_err
XX_1_53,2q,4.2064417495083070e-05,0.0000000000000000e+00,-9.3641121081702194e-01,0.0000000000000000e+00,9.3645327523451705e-01
YY_1_53,2q,4.2064417495083070e-05,0.0000000000000000e+00,-3.1192337521767328e-02,0.0000000000000000e+00,3.1234401939262409e-02
ZZ_1_53,2q,-9.8794220318985382e-01,0.0000000000000000e+00,-7.4235253808406145e-03,0.0000000000000000e+00,9.8051867780901325e-01
XZ_1_53,2q,0.0000000000000000e+00,0.0000000000000000e+00,-3.0885470295877696e-02,0.0000000000000000e+00,3.0885470295877696e-02
XX_12_46,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
YY_12_46,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
ZZ_12_46,2q,-9.8938301178996146e-01,0.0000000000000000e+00,9.7680983698340873e-01,0.0000000000000000e+00,1.9661928487733702e+00
XZ_12_46,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
XX_21_41,2q,8.0893132028326103e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0893132028326103e-08
YY_21_41,2q,8.0893132028326103e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0893132028326103e-08
ZZ_21_41,2q,-9.7656039868501143e-01,0.0000000000000000e+00,-9.8845940592245385e-01,0.0000000000000000e+00,1.1899007237442416e-02
XZ_21_41,2q,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
XX_14_34,2q,-1.1452499119023586e-05,0.0000000000000000e+00,-3.0183055174184859e-06,0.0000000000000000e+00,8.4341936016050988e-06
YY_14_34,2q,-1.1452499119023586e-05,0.0000000000000000e+00,2.6547803509581735e-06,0.0000000000000000e+00,1.4107279469981759e-05
ZZ_14_34,2q,-9.5277660587634350e-01,0.0000000000000000e+00,8.0481077074576179e-01,0.0000000000000000e+00,1.7575873766221053e+00
XZ_14_34,2q,0.0000000000000000e+00,0.0000000000000000e+00,2.3515022163223051e-01,0.0000000000000000e+00,2.3515022163223051e-01
