name,family,real_ref,imag_ref,real_pp,imag_pp,abs_err
Y_65,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_65,Z,-9.9999750321013370e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,2.4967898663019739e-06
X_66,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_66,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_66,Z,-9.9999750321013370e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,2.4967898663019739e-06
X_67,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_67,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_67,Z,-9.9999711536502722e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,2.8846349727773557e-06
X_68,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_68,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_68,Z,-9.9999711536502722e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,2.8846349727773557e-06
X_69,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_69,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_69,Z,-9.9999999802276707e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.9772329329370564e-09
X_70,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_70,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_70,Z,-9.9999999802276707e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.9772329329370564e-09
X_71,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_71,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_71,Z,-9.9999999800480210e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.9951978957877259e-09
X_72,X,0.0000000000000000e+00,0.0000000000000000e+00,-1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_72,Y,0.0000000000000000e+00,0.0000000000000000e+00,-1.4997597826618576e-32,0.0000000000000000e+00,1.4997597826618576e-32
Z_72,Z,-9.9999999800480210e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.9951978957877259e-09
