t,norm_ref,norm_tdvp,err_state,max_abs_err_z,max_bond_dim,z_ref_1,z_ref_2,z_ref_3,z_ref_4,z_ref_5,z_ref_6,z_ref_7,z_ref_8,z_ref_9,z_ref_10,z_tdvp_1,z_tdvp_2,z_tdvp_3,z_tdvp_4,z_tdvp_5,z_tdvp_6,z_tdvp_7,z_tdvp_8,z_tdvp_9,z_tdvp_10,znorm_ref_1,znorm_ref_2,znorm_ref_3,znorm_ref_4,znorm_ref_5,znorm_ref_6,znorm_ref_7,znorm_ref_8,znorm_ref_9,znorm_ref_10,znorm_tdvp_1,znorm_tdvp_2,znorm_tdvp_3,znorm_tdvp_4,znorm_tdvp_5,znorm_tdvp_6,znorm_tdvp_7,znorm_tdvp_8,znorm_tdvp_9,znorm_tdvp_10
0.5000000000,6.3084711552747474e-01,6.3083286309630926e-01,7.9960282966482020e-04,5.5269359656717754e-05,14,6.9910302035288779e-02,7.7166192491341587e-02,8.1294661248182465e-02,8.3630242082517292e-02,8.4685036777774558e-02,8.4685036777774614e-02,8.3630242082517167e-02,8.1294661248182493e-02,7.7166192491341615e-02,6.9910302035289168e-02,6.9895516932715576e-02,7.7147365463773071e-02,8.1280590583977047e-02,8.3611426800129174e-02,8.4659227578090385e-02,8.4653771830479230e-02,8.3594890338505673e-02,8.1253336749038008e-02,7.7115470662151270e-02,6.9855032675632450e-02,1.7566811257460044e-01,1.9390045522446420e-01,2.0427432421406408e-01,2.1014308840172141e-01,2.1279353887718944e-01,2.1279353887718958e-01,2.1014308840172111e-01,2.0427432421406416e-01,1.9390045522446428e-01,1.7566811257460141e-01,1.7563889726016588e-01,1.9386190690352850e-01,2.0424819681307277e-01,2.1010530354415408e-01,2.1273829892448171e-01,2.1272458929708063e-01,2.1006374943579928e-01,2.0417971125455817e-01,1.9378175916257143e-01,1.7553716526672025e-01
0.5500000000,6.0655257761564607e-01,6.0653694064646557e-01,7.7042216548559288e-04,5.4929382747551103e-05,15,7.5816346966376458e-02,8.2338328634154703e-02,8.6197401363661275e-02,8.8473243931305526e-02,8.9524453887598804e-02,8.9524453887598887e-02,8.8473243931305290e-02,8.6197401363661302e-02,8.2338328634154731e-02,7.5816346966376846e-02,7.5802517534860947e-02,8.2323280009400257e-02,8.6188657276218078e-02,8.8460824867019311e-02,8.9505669744156177e-02,8.9500347853517959e-02,8.8444531552759859e-02,8.6161158469179433e-02,8.2290792506385518e-02,7.5761417583629295e-02,2.0607530430395696e-01,2.2380260732804338e-01,2.3429189649699866e-01,2.4047783090878430e-01,2.4333510932298380e-01,2.4333510932298402e-01,2.4047783090878366e-01,2.3429189649699875e-01,2.2380260732804347e-01,2.0607530430395801e-01,2.0604833847343149e-01,2.2377324151297526e-01,2.3428020868638744e-01,2.4045647264229714e-01,2.4329659666321132e-01,2.4328213056420561e-01,2.4041218373949333e-01,2.3420546072702436e-01,2.2368493315284382e-01,2.0593661953667286e-01
0.6000000000,5.8405530886363466e-01,5.8403870123182855e-01,7.4304917414376188e-04,5.3551141615398867e-05,16,8.1066280050986150e-02,8.6138678135277633e-02,8.9367608735466786e-02,9.1412750410446234e-02,9.2388692245353982e-02,9.2388692245354065e-02,9.1412750410445984e-02,8.9367608735466897e-02,8.6138678135277896e-02,8.1066280050986456e-02,8.1054210630114212e-02,8.6128042576841757e-02,8.9364391469231974e-02,9.1406642969271770e-02,9.2376808273859495e-02,9.2371736478964878e-02,9.1390887882862426e-02,8.9336995823464549e-02,8.6095493591348354e-02,8.1012728909371057e-02,2.3764697630434586e-01,2.5251678489289431e-01,2.6198244180164737e-01,2.6797780429844864e-01,2.7083879194915705e-01,2.7083879194915733e-01,2.6797780429844792e-01,2.6198244180164770e-01,2.5251678489289509e-01,2.3764697630434675e-01,2.3762510818523469e-01,2.5249996608443537e-01,2.6198790939670630e-01,2.6797513979307652e-01,2.7081935520974693e-01,2.7080448632383514e-01,2.6792895090192104e-01,2.6190759409613545e-01,2.5240454283450103e-01,2.3750349700300646e-01
0.6500000000,5.6315973129664298e-01,5.6314258351861635e-01,7.1725444544853295e-04,5.1341827086326397e-05,16,8.5438747783442293e-02,8.8432064791658396e-02,9.0734337596597381e-02,9.2417488007247944e-02,9.3264385340567163e-02,9.3264385340567163e-02,9.2417488007247556e-02,9.0734337596597547e-02,8.8432064791658632e-02,8.5438747783442570e-02,8.5429102613036628e-02,8.8426018601757028e-02,9.0736175333240326e-02,9.2416849193658918e-02,9.3258443320348230e-02,9.3253703140564123e-02,9.2401847432487624e-02,9.0709191747508924e-02,8.8393885646622233e-02,8.5387405956356244e-02,2.6939633836202287e-01,2.7883454599603569e-01,2.8609382682179263e-01,2.9140095700927032e-01,2.9407130326882741e-01,2.9407130326882741e-01,2.9140095700926910e-01,2.8609382682179318e-01,2.7883454599603646e-01,2.6939633836202376e-01,2.6938233095766762e-01,2.7883246200238498e-01,2.8611704519674891e-01,2.9141668932563491e-01,2.9407047568922073e-01,2.9405552855012712e-01,2.9136938449309913e-01,2.8603195825331174e-01,2.7873113762825480e-01,2.6925084950432049e-01
0.7000000000,5.4366364804364631e-01,5.4364635698384789e-01,6.9282577777538164e-04,4.8557557223230519e-05,16,8.8740854572089745e-02,8.9200008570928774e-02,9.0402211025660373e-02,9.1660132939981459e-02,9.2354709656665479e-02,9.2354709656665396e-02,9.1660132939981154e-02,9.0402211025660650e-02,8.9200008570929024e-02,8.8740854572089939e-02,8.8734093685987045e-02,8.9198287579870653e-02,9.0408107675403221e-02,9.1663607717823059e-02,9.2353209402392306e-02,9.2348841909430116e-02,9.1649483958678515e-02,9.0381803998905413e-02,8.9166971600333336e-02,8.8692297014866708e-02,3.0023617374071709e-01,3.0178962553508981e-01,3.0585702681053156e-01,3.1011294325669958e-01,3.1246289871737409e-01,3.1246289871737376e-01,3.1011294325669858e-01,3.0585702681053251e-01,3.0178962553509064e-01,3.0023617374071776e-01,3.0023239699219950e-01,3.0180300012387751e-01,3.0589643447501275e-01,3.1014442723068841e-01,3.1247769912346007e-01,3.1246292168193324e-01,3.1009663939755278e-01,3.0580743581038911e-01,3.0169704229853567e-01,3.0009097767708082e-01
0.7500000000,5.2537201918832566e-01,5.2535490996315337e-01,6.6956789543299547e-04,4.5467068229207430e-05,16,9.0829526393279125e-02,8.8542528348649452e-02,8.8638115821841834e-02,8.9490921524667616e-02,9.0046078749234426e-02,9.0046078749234426e-02,8.9490921524667200e-02,8.8638115821842084e-02,8.8542528348649702e-02,9.0829526393279431e-02,9.0825878739177288e-02,8.8544512393103833e-02,8.8646785797036054e-02,8.9496965275586010e-02,9.0047345166794940e-02,9.0043349825781022e-02,8.9483752676951356e-02,8.8621386205517599e-02,8.8514322182221730e-02,9.0784059325050223e-02,3.2907369808066822e-01,3.2078794636606683e-01,3.2113425801760409e-01,3.2422395734244752e-01,3.2623528172295113e-01,3.2623528172295113e-01,3.2422395734244602e-01,3.2113425801760498e-01,3.2078794636606772e-01,3.2907369808066927e-01,3.2908191606140352e-01,3.2081602952305482e-01,3.2118658831307528e-01,3.2426697350374040e-01,3.2626111957394599e-01,3.2624664358434446e-01,3.2421910138474525e-01,3.2109456006782072e-01,3.2070664382174041e-01,3.2893039522702744e-01
0.8000000000,5.0811003696904100e-01,5.0809334316544752e-01,6.4732205056612917e-04,4.2319770200097140e-05,16,9.1626106807697005e-02,8.6663326073945599e-02,8.5832088889511479e-02,8.6381109145876045e-02,8.6842520152896563e-02,8.6842520152896494e-02,8.6381109145875754e-02,8.5832088889511715e-02,8.6663326073945723e-02,9.1626106807697158e-02,9.1625577405942987e-02,8.6668166490696308e-02,8.5842212678271093e-02,8.6388298429366739e-02,8.6845044833389673e-02,8.6841382798272873e-02,8.6375946253601815e-02,8.5817894162622699e-02,8.6639312469865559e-02,9.1583787037497061e-02,3.5489810964583290e-01,3.3567562423900799e-01,3.3245596866592836e-01,3.3458250506400966e-01,3.3636970196527105e-01,3.3636970196527077e-01,3.3458250506400855e-01,3.3245596866592925e-01,3.3567562423900849e-01,3.5489810964583346e-01,3.5491938025583897e-01,3.3571643213232993e-01,3.3251703057301285e-01,3.3463233965845213e-01,3.3640158526911484e-01,3.3638740006809426e-01,3.3458449246674626e-01,3.3242283075733875e-01,3.3560466365587310e-01,3.5475750174888254e-01
0.8500000000,4.9173321755997412e-01,4.9171708049711715e-01,6.2597529745154622e-04,3.9319610065341459e-05,16,9.1122172689748399e-02,8.3842064184541876e-02,8.2440692263856447e-02,8.2848612437254943e-02,8.3282442916745025e-02,8.3282442916745025e-02,8.2848612437254707e-02,8.2440692263856780e-02,8.3842064184542112e-02,9.1122172689748565e-02,9.1124578571779719e-02,8.3848821491287182e-02,8.2451133463012832e-02,8.2855871581995366e-02,8.3285119979913516e-02,8.3281721179665771e-02,8.2844259893981961e-02,8.2428021652504485e-02,8.3821419098140351e-02,9.1082853079683224e-02,3.7684692243245704e-01,3.4673914071282641e-01,3.4094359523904094e-01,3.4263059915264094e-01,3.4442475831530572e-01,3.4442475831530572e-01,3.4263059915263994e-01,3.4094359523904233e-01,3.4673914071282735e-01,3.7684692243245771e-01,3.7688160787026370e-01,3.4678984700895554e-01,3.4100915732398629e-01,3.4268311132672957e-01,3.4445843724777836e-01,3.4444438016984968e-01,3.4263508661465769e-01,3.4091356932301337e-01,3.4667651361251589e-01,3.7670903565322877e-01
0.9000000000,4.7613296438413200e-01,4.7611744745152407e-01,6.0548032580929234e-04,3.6611678619735688e-05,16,8.9376312762539878e-02,8.0399624452786533e-02,7.8924264095198149e-02,7.9381229910818765e-02,7.9855615101042138e-02,7.9855615101042193e-02,7.9381229910818446e-02,7.8924264095198482e-02,8.0399624452786672e-02,8.9376312762540183e-02,8.9381335130984091e-02,8.0407389312191643e-02,7.8934208419530666e-02,7.9387936180567192e-02,7.9857833626912053e-02,7.9854606566277936e-02,7.9376895286277754e-02,7.8912373958273996e-02,8.0381470687664228e-02,8.9339701083920448e-02,3.9424476319171453e-01,3.5464800374240507e-01,3.4814009267714058e-01,3.5015579878760306e-01,3.5224834289913026e-01,3.5224834289913054e-01,3.5015579878760161e-01,3.4814009267714202e-01,3.5464800374240568e-01,3.9424476319171592e-01,3.9429261636282964e-01,3.5470537400619384e-01,3.4820665313016536e-01,3.5020820642709666e-01,3.5228108991300577e-01,3.5226685420955917e-01,3.5015950114550748e-01,3.4811033361509941e-01,3.5459103780543716e-01,3.9410895388651462e-01
0.9500000000,4.6123705561562617e-01,4.6122216701315644e-01,5.8587216778568615e-04,3.4282104532351587e-05,16,8.6503376297214010e-02,7.6662745540380980e-02,7.5689409570198124e-02,7.6371764519209920e-02,7.6936440835545988e-02,7.6936440835545947e-02,7.6371764519209615e-02,7.5689409570198402e-02,7.6662745540381008e-02,8.6503376297214205e-02,8.6510615191757942e-02,7.6670727107528230e-02,7.5698413720072244e-02,7.6377733347241891e-02,7.6938042273476892e-02,7.6934885272405537e-02,7.6367065469154644e-02,7.5677870783315448e-02,7.6646258600759076e-02,8.6469094192681853e-02,4.0661619917474434e-01,3.6035950900721381e-01,3.5578426362770410e-01,3.5899172890515119e-01,3.6164603613963037e-01,3.6164603613963014e-01,3.5899172890514974e-01,3.5578426362770543e-01,3.6035950900721392e-01,4.0661619917474523e-01,4.0667648057208161e-01,3.6042029517277874e-01,3.5584956144782204e-01,3.5904296510757561e-01,3.6167691311094247e-01,3.6166207241096582e-01,3.5899281663612992e-01,3.5575299145808897e-01,3.6030527152862046e-01,4.0648129511724845e-01
1.0000000000,4.4700547743552438e-01,4.4699119429100981e-01,5.6726650249789515e-04,3.2367462475771380e-05,16,8.2658975878831559e-02,7.2933347026846201e-02,7.3045374099087568e-02,7.4075029351648433e-02,7.4744132219897758e-02,7.4744132219897841e-02,7.4075029351648142e-02,7.3045374099087873e-02,7.2933347026846354e-02,8.2658975878832031e-02,8.2667996998822116e-02,7.2940924358594367e-02,7.3053336246070730e-02,7.4080410523925250e-02,7.4745275073432066e-02,7.4742087637485119e-02,7.4069911397564719e-02,7.3034044579125879e-02,7.2917826882594849e-02,8.2626608416356259e-02,4.1367981496221257e-01,3.6500637930559204e-01,3.6556703636700422e-01,3.7072010764360264e-01,3.7406873793795586e-01,3.7406873793795625e-01,3.7072010764360119e-01,3.6556703636700572e-01,3.6500637930559277e-01,4.1367981496221495e-01,4.1375140330765720e-01,3.6506763085545790e-01,3.6563024973918951e-01,3.7077073262484067e-01,3.7409836423991272e-01,3.7408241119709223e-01,3.7071818474146528e-01,3.6553369539457792e-01,3.6495202852499620e-01,4.1354425441452014e-01
