gamma,method,t,meanZ1,meanZ2,varZ1,varZ2,theory_mean,theory_var
0.1,projector,30.0,-3.771522823344722e-16,6.73991195817947e-17,3.9389544737458594e-31,3.428108076553751e-31,6.14421235332821e-6,6.144174601982767e-6
0.1,projector,31.0,-2.107822382128104e-16,2.0296345821281424e-17,2.783838410093869e-31,6.6995549967853805e-31,4.118588707535708e-6,4.1185717447627665e-6
0.1,projector,32.0,-2.64388547878989e-16,2.4487139394970795e-16,1.641888259311462e-31,6.576277605264537e-31,2.7607725720371986e-6,2.7607649501720045e-6
0.1,projector,33.0,-3.892069333632633e-16,-5.630343554782809e-17,2.6686151297155783e-31,7.874984696414539e-32,1.8506011975819048e-6,1.8505977728571123e-6
0.1,projector,34.0,-3.4479801237825703e-16,1.7381588868249175e-18,3.0784224290004385e-31,1.9159473456027628e-31,1.2404950799567113e-6,1.240493541128668e-6
0.1,projector,35.0,-4.3361585434826954e-16,2.329801524930286e-16,3.4096639703012196e-31,1.4278707874317712e-31,8.315287191035679e-7,8.315280276635572e-7
0.1,projector,36.0,-3.1434858398712107e-16,2.9493734502453833e-17,1.661138354188423e-31,1.75761356032406e-31,5.573903692694596e-7,5.573900585854358e-7
0.1,projector,37.0,-3.559002426245086e-16,2.645454112388159e-16,2.3732878184782228e-31,2.9304636094182266e-31,3.73629937988526e-7,3.7362979838919544e-7
0.1,projector,38.0,-7.94603168228708e-17,-9.706608297478778e-17,2.924754453296576e-32,1.313807533790128e-31,2.504516372327617e-7,2.504515745067391e-7
0.1,projector,39.0,-2.0063242874909836e-16,-9.706608297478778e-17,1.2272622776771802e-31,8.834566257292939e-32,1.6788275299956603e-7,1.6788272481494726e-7
0.1,projector,40.0,-4.155493174352991e-17,-1.9127163049581427e-16,1.0199751688163059e-32,1.8532788640611702e-31,1.1253517471925912e-7,1.1253516205509356e-7
0.1,projector,41.0,-1.1197799635119768e-16,-8.248241004775248e-18,6.731597046753728e-32,8.657773336348214e-32,7.543458349844232e-8,7.543457780806594e-8
0.1,projector,42.0,-1.2942035293100286e-16,8.881456886387005e-17,4.618243273271334e-32,2.3353140168524504e-31,5.05653134833552e-8,5.0565310926504274e-8
0.1,projector,43.0,-2.2188446845906194e-16,9.134501206726525e-17,7.949025776276059e-32,2.091441328342221e-31,3.389494326196924e-8,3.389494211310206e-8
0.1,projector,44.0,-3.8825451258072367e-16,5.439204777046393e-17,2.568799021865504e-31,2.9278807624211816e-31,2.2720459927738556e-8,2.2720459411519256e-8
0.1,projector,45.0,-3.1434858398712116e-16,5.265061577749654e-17,4.227864819664013e-31,1.702098844018672e-31,1.522997974471263e-8,1.5229979512760346e-8
0.1,projector,46.0,-2.504290552851187e-16,2.3948368839869394e-16,2.1060777283523573e-31,3.3385000086904895e-31,1.0208960723597601e-8,1.0208960619374724e-8
0.1,projector,47.0,-2.0332628152460546e-16,1.7017645414567758e-16,3.2919996000610745e-31,4.103149578469282e-31,6.843271022217988e-9,6.843270975387629e-9
0.1,projector,48.0,-2.4964004407469085e-16,-2.6969837511343615e-17,2.5986290699215527e-31,2.843517182366672e-31,4.587181746647508e-9,4.587181725605272e-9
0.1,projector,49.0,-1.4607369830038025e-16,-1.0721589243849978e-16,5.658175628850108e-31,4.316594063448199e-31,3.074879879586606e-9,3.07487987013172e-9
0.1,projector,50.0,-6.506809011807841e-18,-8.389560159134526e-17,2.0660064687890636e-31,8.175427005840983e-31,2.061153622438558e-9,2.0611536181902037e-9
0.1,projector,51.0,1.569765148069527e-17,-1.755707059089766e-16,3.5894567396757297e-31,8.881723954712653e-31,1.381632591079536e-9,1.3816325891706272e-9
0.1,projector,52.0,-1.0261719809791363e-16,-1.2482165859041674e-16,7.047252039042813e-31,6.5122580708096625e-31,9.261360220567754e-10,9.261360211990474e-10
0.1,projector,53.0,-3.003890913932507e-16,2.301228901454098e-16,2.018312861902571e-31,2.65264919861943e-31,6.208075409403602e-10,6.208075405549582e-10
0.1,projector,54.0,-2.440889289515651e-16,6.20114140307807e-17,2.208096233007497e-31,3.6239818550529554e-31,4.161397394224149e-10,4.1613973924924255e-10
0.1,projector,55.0,-2.486876232921513e-16,6.01065724657015e-17,8.163522236430631e-32,5.722146962371067e-31,2.7894680928689246e-10,2.7894680920908113e-10
0.1,projector,56.0,-3.032463537408695e-16,1.849249579499758e-16,1.4416037288421104e-31,4.385679510308996e-31,1.8698363804268407e-10,1.869836380077212e-10
0.1,projector,57.0,-1.9777516640147967e-16,2.0617699765993926e-16,1.7088350737683675e-31,5.300156002631082e-31,1.2533888086068347e-10,1.2533888084497363e-10
0.1,projector,58.0,-3.34648202914545e-16,2.1727922790619086e-16,2.218156290472219e-31,2.2613093049734137e-31,8.401716438858868e-11,8.401716438152981e-11
0.1,projector,59.0,-1.8588392494480026e-16,-6.661665458365186e-17,6.114636034141222e-32,3.518942697452799e-32,5.631838950074272e-11,5.631838949757096e-11
0.1,projector,60.0,-3.4115173882021036e-16,1.0514109508902383e-16,6.312968243528575e-32,1.1391833040762728e-31,3.775134544279098e-11,3.775134544136581e-11
0.1,projector,61.0,-1.2577407937295623e-16,3.197297433258501e-16,3.7167564300288006e-32,1.3500236872577536e-31,2.5305483615118915e-11,2.5305483614478544e-11
0.1,projector,62.0,-1.2022296424983047e-16,5.360303656003616e-17,1.2110420900569869e-31,1.88826864775129e-31,1.6962772941840653e-11,1.6962772941552917e-11
0.1,projector,63.0,-1.4702611908291982e-16,3.8824796636843866e-16,5.613592325196341e-32,3.318071744969941e-31,1.1370486739266698e-11,1.1370486739137411e-11
0.1,projector,64.0,-3.032463537408695e-16,4.0299647017273676e-16,9.355451540917979e-32,5.748391457295866e-31,7.62186519451289e-12,7.621865194454797e-12
0.1,projector,65.0,-3.17042436762628e-16,2.8103534703608143e-16,5.302302462583171e-32,1.737861978866556e-31,5.109089028063325e-12,5.109089028037222e-12
0.1,projector,66.0,-2.329866987053135e-16,-2.4901586374152627e-17,9.115398742397062e-32,2.778621669499291e-31,3.42472479249158e-12,3.4247247924798514e-12
0.1,projector,67.0,-3.670024728707602e-16,-5.45620035548607e-17,2.4253045794936144e-31,3.218974561956811e-31,2.2956616805623547e-12,2.2956616805570847e-12
0.1,projector,68.0,-1.5257723420604558e-16,6.201141403078073e-17,2.536129291648677e-31,2.747450173637192e-31,1.5388280433968073e-12,1.5388280433944393e-12
0.1,projector,69.0,-1.728768531334695e-16,8.786214808133043e-17,2.852791170872946e-31,2.265128393882083e-31,1.0315072848906821e-12,1.031507284889618e-12
0.1,projector,70.0,-4.012615843920545e-16,2.255241958048236e-16,1.9975580402570983e-31,1.3569962984514379e-31,6.914400106940203e-13,6.914400106935422e-13
